Restaurant Name,Locality,Cuisines,Average Cost for two,Aggregate rating
Cinnabon & Auntie Anne's,Logix City Centre,Desserts,600,3.1
Get Set Go,MSX Mall,North Indian,900,3.1
Berco's,Sector 110,Chinese,1200,3.1
Your Spicy Kitchen,Sector 110,Mughlai,900,3.1
Scrummy Bites,Sector 12,North Indian,400,3.1
Book Food Kitchen,Sector 132,North Indian,500,3.1
Sagar Dhaba,Sector 15,North Indian,400,3.1
Bon Bon Pastry Shop,Sector 18,Bakery,200,3.1
Hunger's Hub,Sector 25,North Indian,600,3.1
Maa Vaishno Shudh Bhojnalaya,Sector 27,North Indian,300,3.1
Sadda Taste,Sector 27,North Indian,500,3.1
Hari Sweets,Sector 28,Mithai,200,3.1
Uncle's Treat,Sector 31,Chinese,500,3.1
Frozen Stone,Sector 34,Fast Food,400,3.1
The Black Box,Sector 37,North Indian,500,3.1
Keventers,Sector 38,Beverages,500,3.1
Big Bone - The Meat Shop,Sector 41,Raw Meats,400,3.1
Biryani House,Sector 41,Biryani,400,3.1
Faasos,Sector 41,North Indian,700,3.1
Indian Curry House,Sector 44,North Indian,700,3.1
Quick Grabs,Sector 45,North Indian,600,3.1
The Taste,Sector 48,Bakery,600,3.1
Fresh and Fit Ghar Ka Khana,Sector 50,North Indian,500,3.1
Sanskriti Foods,Sector 51,North Indian,700,3.1
Mithaas Sweets,Sector 53,North Indian,700,3.1
Foodelicious,Sector 56,North Indian,600,3.1
"Vanshika Indian, Chinese, & Parantha Corner",Sector 58,Chinese,400,3.1
Yumbo Bites,Sector 59,Fast Food,400,3.1
Shree Ganesh M Cafe,Sector 6,South Indian,200,3.1
Mirchievous,Sector 61,North Indian,700,3.1
Chai Thela,Sector 62,Cafe,300,3.1
Dev's Restaurant & Bar,Sector 62,North Indian,1600,3.1
GVP Creations,Sector 62,Bakery,500,3.1
MS Foods,Sector 62,North Indian,500,3.1
Old Tehrii Cafe & Lounge,Sector 62,North Indian,1600,3.1
Pizza Hut,Sector 62,Italian,1100,3.1
Republic of Chicken,Sector 62,Raw Meats,500,3.1
Hurry Curry,Sector 71,North Indian,600,3.1
Cup and Cones,Sector 72,Desserts,200,3.1
Mood 4 Food,Sector 72,Street Food,200,3.1
Northern Bytes,Sector 72,Kashmiri,600,3.1
Swag Sadda Desi,Sector 72,Fast Food,400,3.1
Wild Chef House,Sector 72,North Indian,600,3.1
Hungry's Hut,Sector 93,Chinese,600,3.1
Kebabplus,Sector 93,North Indian,700,3.1
Punjabi Pakwaan,Sector 93,North Indian,900,3.1
The Dessert Table Company,Sector 93,Bakery,600,3.1
Cakebak,Shopprix Mall,Bakery,500,3.1
Eden Kitchen & Bar,Supertech Shopprix Mall,North Indian,2100,3.1
Otik Hotshop,Supertech Shopprix Mall,North Indian,700,3.1
Gelato Vinto,The Great India Place,Desserts,300,3.1
Ristorante Prego,The Great India Place,Italian,1300,3.1
Roti Restaurant,Sri Krishnapuri,North Indian,600,3.1
Le Cafe,White Town,Cafe,500,3.1
Jungli Moon Dance Restaurant,Kanka,North Indian,600,3.1
Jamjar,Small Heath,Ice Cream,100,3.1
Chez Michou,Asa Norte,Fast Food,100,3
Consort Restaurant,Consort,Chinese,100,3
Makansutra Gluttons Bay,Marina Centre,Singaporean,100,3
Snax Points,Badarpur Border,Chinese,400,3
Green Chick Chop,Charmwood Village,Raw Meats,400,3
Cakes 'n Bakes - Park Plaza,Park Plaza,Bakery,1100,3
Sagar Bakery,Sector 10,Bakery,200,3
Chopstick,Sector 11,Chinese,400,3
Hungrill,Sector 16,North Indian,600,3
Parkash Dhaba,Sector 19,North Indian,300,3
"The Hub - Gourmet, Bakers & More",Sector 21,Bakery,300,3
Desi Tadka,Sector 37,North Indian,600,3
Cravings,Sector 41,North Indian,600,3
Kaushik Bakery,Sector 7,Bakery,300,3
Rama Vaishnav Bhojnalaya,Sector 7,North Indian,300,3
Shree Bikaner Misthan Bhandar,Sector 7,Mithai,400,3
The Hunger End,Sector 7,North Indian,600,3
Anupam Sweets & Restaurant,Sector 86,North Indian,500,3
Indian Gourmet,Sector 86,North Indian,500,3
Bawarchi,Suraj Kund,North Indian,600,3
Rock Cafe,Suraj Kund,North Indian,600,3
Vrindavan Sweets & Restaurant,Suraj Kund,North Indian,400,3
Yummy Cake,Suraj Kund,Bakery,500,3
Bakers Delight - The Atrium,The Atrium,Bakery,800,3
Thakur Bakers,Indirapuram,Bakery,200,3
Dosa X'press,Shipra Mall,South Indian,600,3
Cakes & More,Ansal Plaza Mall,Bakery,300,3
Kwality Wall's Swirl's,Ansal Plaza Mall,Ice Cream,300,3
Yo! Dimsum,Ansal Plaza Mall,Chinese,300,3
Red,Ardee City,Japanese,1300,3
60 ML - Country Inn & Suites by Carlson,Country Inn & Suites by Carlson,Finger Food,1100,3
Italiano,DLF Mega Mall,Italian,1600,3
GenY Cuisines,DLF Phase 1,Chinese,300,3
Apni Rasoi,DLF Phase 3,North Indian,500,3
Cake Point,DLF Phase 3,Bakery,700,3
Chateau Garlic,DLF Phase 3,North Indian,800,3
Rasoi,DLF Phase 3,North Indian,600,3
Theka Desi Khaana,DLF Phase 3,North Indian,400,3
Bar Code - Leisure Inn,Leisure Inn,Finger Food,2000,3
Bites - Leisure Inn,Leisure Inn,North Indian,1500,3
Outback Bar and Grill - Leisure Inn,Leisure Inn,North Indian,1300,3
Frozen Adda,MGF Metropolis Mall,Ice Cream,400,3
A1,Old Railway Road,Biryani,300,3
Ko Jitters,Old Railway Road,Fast Food,500,3
Laddu Gopal,Old Railway Road,North Indian,500,3
Samrat The Cake Shoppe,Old Railway Road,Bakery,200,3
Sanjha Chula,Old Railway Road,North Indian,800,3
The Chic,Old Railway Road,Fast Food,300,3
Shree Bikaner Misthan Bhandar,Palam Vihar,Mithai,400,3
The Pepper's,Palam Vihar,North Indian,300,3
K2 Restaurant,Plaza Mall,Korean,2100,3
Colonel's Kababz,Qutab Plaza,North Indian,1000,3
Sapra Pastry Treat,Qutab Plaza,Bakery,300,3
Burger King,Raheja Mall,Burger,600,3
Maa Bhagwati Tiffins,Sector 12,North Indian,300,3
Spices & Sauces,Sector 12,North Indian,1600,3
Bakingo,Sector 14,Bakery,500,3
Cake Maker,Sector 14,Street Food,300,3
Mr. & Mrs. Idly,Sector 14,South Indian,500,3
Ridhi Sidhi,Sector 14,North Indian,600,3
The Guls,Sector 14,North Indian,700,3
Zync - Rosewood Hotel,Sector 14,North Indian,1100,3
Cake2you,Sector 15,Bakery,500,3
Khan Kabab Corner,Sector 15,Mughlai,600,3
Cake Desire,Sector 22,Bakery,500,3
Faasos,Sector 23,North Indian,700,3
Latenight.in,Sector 31,North Indian,700,3
Cafeast,Sector 39,North Indian,600,3
Yomo-Your Only Momo Outlet,Sector 39,Fast Food,200,3
Midnight Sutra,Sector 43,North Indian,700,3
Blossoms 4 U,Sector 56,Bakery,400,3
Droolfi,Sector 56,Desserts,200,3
FatPlates,Sector 56,North Indian,700,3
Ghar Ki Handi,Sector 56,North Indian,400,3
Pure Bliss,Sector 56,North Indian,600,3
Puskar Raj Momos & Chinese Corner,Sector 56,Chinese,300,3
Yomo-Your Only Momo Outlet,Sector 56,Fast Food,200,3
Begonia,Sushant Lok,Bakery,600,3
Foodrath,Sushant Shopping Arcade,North Indian,500,3
Spice Aangan Express,Sushant Shopping Arcade,Fast Food,500,3
Shanghai Bar & Lounge - The Bristol Hotel,The Bristol Hotel,Finger Food,2500,3
Zaffran - The Claremont,The Claremont,Mughlai,2600,3
Green Leaf,The Habitare Hotel,North Indian,900,3
Tokyo,The Habitare Hotel,Japanese,1700,3
The Gr8 Taste of India,Udyog Vihar,North Indian,500,3
Madras Coffee House,Unitech Infospace,South Indian,400,3
Kathi Junction,Vyapar Kendra,Fast Food,500,3
Little Italy,Satpur,Italian,900,3
Chandra Sweets,Alaknanda,Mithai,500,3
Lazeez Restaurant,Alaknanda,Chinese,700,3
Chocolate Dreams,Anand Vihar,Bakery,500,3
Tandoori Nights,Anand Vihar,Mughlai,700,3
Juniper Bar - Andaz Delhi,Andaz Delhi,North Indian,1600,3
Pizzaon,Asaf Ali Road,Pizza,600,3
Frontier,Ashok Vihar Phase 1,Bakery,300,3
Popular Chicken,Ashok Vihar Phase 1,North Indian,500,3
Singh's Zaika ,Ashok Vihar Phase 1,North Indian,600,3
The Mirch Masala,Ashok Vihar Phase 1,North Indian,800,3
Apni Rasoi,Ashok Vihar Phase 3,North Indian,400,3
Karachi Bakery,Barakhamba Road,Bakery,300,3
Sugar & Spice - Le Marche,Basant Lok Market,Bakery,900,3
Snack Bar,Bhikaji Cama Place,North Indian,300,3
Cafe Coffee Day,Chanakyapuri,Cafe,500,3
Costa Coffee,Chanakyapuri,Cafe,700,3
Organic Express,Chanakyapuri,Cafe,800,3
Domino's Pizza,Chander Nagar,Pizza,800,3
Vaishno Punjabi Dhaba,Chander Nagar,North Indian,500,3
Al Haj Bakery,Chandni Chowk,Bakery,200,3
Bhikharam's,Chandni Chowk,Mithai,400,3
Inderpuri Restaurant,Chandni Chowk,North Indian,300,3
McDonald's,Chandni Chowk,Fast Food,600,3
Padam Chaat Corner,Chandni Chowk,Street Food,200,3
Pt. Babu Ram Devi Dayal Paranthe Wale,Chandni Chowk,North Indian,200,3
Rehmatullah's Hotel,Chandni Chowk,Mughlai,200,3
Sharma Bhojnalay,Chandni Chowk,North Indian,200,3
Soni Bhojnalaya,Chandni Chowk,North Indian,400,3
Balluchi's - The Royal Cuisine,Chittaranjan Park,North Indian,900,3
Horn Please,Chittaranjan Park,North Indian,1100,3
Embassy,Civil Lines,Chinese,1300,3
Narang's Bake 'n' Cake,Civil Lines,Bakery,500,3
New Darvesh,Civil Lines,Chinese,200,3
R. Ahmad Food,Community Centre,North Indian,500,3
Gola Sizzlers,Connaught Place,Chinese,1700,3
Kallu Nihari,Daryaganj,Mughlai,200,3
Shree Jee Rasoi,Daryaganj,North Indian,600,3
Taj Snacks,Daryaganj,South Indian,300,3
Food Hub,DDA Market,Bakery,200,3
Cafe 1 Fast Food,Defence Colony,Fast Food,300,3
Moet's Sizzlers,Defence Colony,Continental,1700,3
Suri Saab Restaurant,Defence Colony,North Indian,700,3
Frontier,Delhi University-GTB Nagar,Bakery,300,3
Grover's - The Baker Shop,Delhi University-GTB Nagar,Bakery,200,3
Korea Restaurant,Delhi University-GTB Nagar,Korean,1000,3
Kukkad Nukkad,Delhi University-GTB Nagar,North Indian,700,3
Take n Taste Shawarma Zone,Delhi University-GTB Nagar,Fast Food,200,3
Shillong View,Dilli Haat,Chinese,400,3
Aggarwal Bikaner Sweets,Dilshad Garden,Mithai,400,3
Bravo Diet Food and Nutrition,Dilshad Garden,Healthy Food,400,3
Deep Chicken Point,Dilshad Garden,North Indian,700,3
Pizza Station,Dilshad Garden,Pizza,400,3
Republic of Chicken,Dilshad Garden,Raw Meats,500,3
Shahi Zaikaa,Dilshad Garden,North Indian,900,3
Cafe Coffee Day,DLF City Centre Mall,Cafe,500,3
Domino's Pizza,DLF City Centre Mall,Pizza,800,3
Frontier,DLF South Square,Bakery,300,3
Froshier Fruits,East of Kailash,Healthy Food,200,3
Khan's Dilli-6 Biryani,East of Kailash,Biryani,600,3
Brainfreezzers,East Patel Nagar,North Indian,600,3
FOG Cafe and Lounge,East Patel Nagar,Cafe,600,3
Keventers,East Patel Nagar,Beverages,500,3
Twenty Four Seven,East Patel Nagar,Fast Food,400,3
Amul Ice-Cream Parlour,Geeta Colony,Ice Cream,300,3
China Town,Geeta Colony,Chinese,200,3
Guru Kripa,Geeta Colony,North Indian,300,3
BED,Greater Kailash (GK) 1,European,2800,3
The Kathis,Greater Kailash (GK) 1,Fast Food,400,3
Fudged,Greater Kailash (GK) 2,Desserts,500,3
Cafe Coffee Day,Green Park,Cafe,500,3
Let's Tango,Green Park,North Indian,500,3
Keventers,GTB Nagar,Beverages,500,3
Sahni's Fish Corner,GTB Nagar,North Indian,500,3
Singh Mutton & Chicken Shop,GTB Nagar,Raw Meats,400,3
Mr. Lobo,Gujranwala Town,Chinese,500,3
Purani Delhi 6,Gujranwala Town,North Indian,500,3
Singh Dhaba,Gujranwala Town,North Indian,700,3
Zaika Amritsari,Gujranwala Town,North Indian,500,3
Ganesh Anna South Indian Food Corner,Hauz Khas,South Indian,200,3
Cafe Regent,Hotel Regent Grand,Cafe,800,3
Onyx Bar - Hotel The Royal Plaza,Hotel The Royal Plaza,Continental,2600,3
Ambarsari Kababs & Curries,IP Extension,North Indian,500,3
Giani,Jail Road,Ice Cream,500,3
Mukesh Chic-Inn Hot & Spice,Jail Road,Mughlai,500,3
Nirula's Ice Cream,Jail Road,Desserts,300,3
The Great Indian Food Truck,Jail Road,Chinese,300,3
Uncle Da Dhabha,Jail Road,North Indian,300,3
Chicken Mughlai,Jama Masjid,North Indian,400,3
Phelwan Biryani Wala,Jama Masjid,Mughlai,200,3
Qureshi Kabab Corner,Jama Masjid,Mughlai,400,3
GPW - The Food Hub,Janakpuri,North Indian,500,3
The Bubble Tea Cafe,Janakpuri,Cafe,700,3
China Hut,Jangpura,Chinese,500,3
Simple Restaurant,Jangpura,North Indian,600,3
Rajeev Restaurant,Janpath,North Indian,300,3
Shan E Dilli,Janpath,North Indian,500,3
Chai Shots,Jasola,Beverages,300,3
Qureshi,JNU,North Indian,400,3
Bakey Wish,Kailash Colony,Bakery,400,3
Pind Punjabi,Kailash Colony,North Indian,600,3
Faasos,Kalkaji,North Indian,700,3
Muradabadi,Kalkaji,Mughlai,500,3
Quality Food Point,Kalkaji,North Indian,500,3
Raj South Indian Food,Kalkaji,South Indian,300,3
Crossroad Bar and Restaurant,Karol Bagh,North Indian,800,3
Sri Krishna Udupi,Karol Bagh,South Indian,500,3
Bj's Lounge & Cafe,Kirti Nagar,North Indian,800,3
Dialogue Lounge & Cafí©,Kirti Nagar,Cafe,800,3
Flirty Momo's,Kirti Nagar,Chinese,400,3
Resunga Food Corner,Kirti Nagar,Chinese,700,3
Syall Kotian Da Dhaba,Kirti Nagar,North Indian,700,3
Aapki Rasoi,Krishna Nagar,North Indian,300,3
Bakeyard,Krishna Nagar,Bakery,400,3
Magic Masala,Krishna Nagar,North Indian,500,3
Masala Magic,Krishna Nagar,North Indian,500,3
The Grill Point,Krishna Nagar,Chinese,400,3
Arabian Knites,Lajpat Nagar 1,Cafe,600,3
Lets Bake Love,Lajpat Nagar 1,Bakery,700,3
Sindhi Kulfi,Lajpat Nagar 1,Desserts,200,3
Behrouz Biryani,Lajpat Nagar 2,Biryani,700,3
The Burger Hut & Cake Shop,Lajpat Nagar 2,Burger,400,3
Bobby Tikki Wala,Laxmi Nagar,Street Food,300,3
Canteeno,Laxmi Nagar,North Indian,300,3
Chauhan Laxmi Sweets,Laxmi Nagar,Mithai,200,3
Gulshan Pastry Shop,Laxmi Nagar,Bakery,300,3
Laxmi Vaishno Dhaba,Laxmi Nagar,North Indian,400,3
Mehta Food Junction,Laxmi Nagar,North Indian,400,3
The Chinese Hut,Laxmi Nagar,Chinese,400,3
Chinois,Lodhi Colony,Asian,1600,3
Garden Chef,Lodhi Road,Chinese,500,3
Chatori Zubaan 2,Mahipalpur,North Indian,600,3
Moti Mahal Delux,Mahipalpur,North Indian,900,3
Popsy's,Mahipalpur,North Indian,600,3
Ama Rabsel House,Majnu ka Tila,Chinese,600,3
Karim's,Malviya Nagar,Mughlai,900,3
Karuna,Malviya Nagar,South Indian,300,3
Punjabee's Darbar,Malviya Nagar,North Indian,800,3
Jai Shree Durga South Indian Corner,Mayapuri Phase 2,South Indian,400,3
Pizza Treat,Mayapuri Phase 2,Pizza,300,3
Chatto Chapati,Mayur Vihar Phase 1,North Indian,300,3
Evergreen Sweets Corner,Mayur Vihar Phase 1,Mithai,200,3
Kasturi Family Restaurant,Mayur Vihar Phase 1,North Indian,500,3
Mr. Baker's,Mayur Vihar Phase 1,Bakery,200,3
Punjabi Mirch,Mayur Vihar Phase 1,North Indian,500,3
Shiv Shakti Restaurant,Mayur Vihar Phase 1,South Indian,300,3
Hub Tub,Mayur Vihar Phase 2,Chinese,400,3
Mitra Di Chaap,Mayur Vihar Phase 2,Street Food,400,3
Clever Fox Cafe,Mayur Vihar Phase 3,North Indian,1000,3
Hotel Malabar,Mayur Vihar Phase 3,Kerala,400,3
Lumbini Fast Point,Mayur Vihar Phase 3,Chinese,500,3
Punjabi Dhaba,Mayur Vihar Phase 3,North Indian,300,3
Qureshi Chicken Corner,Mayur Vihar Phase 3,North Indian,300,3
Zaika Kathi Rolls,Mayur Vihar Phase 3,Fast Food,200,3
Green Chick Chop,Mehrauli,Raw Meats,400,3
Tandoori Zaaika,MG Road,North Indian,600,3
Kabab Factory,Model Town 2,North Indian,800,3
Kapoor's Sanjha Chulha,Moti Nagar,North Indian,600,3
Midnight Adda,Moti Nagar,North Indian,700,3
Pindiwala,Moti Nagar,Mughlai,600,3
Pipes & Hipes,Moti Nagar,North Indian,1000,3
Bhikaram Bhujawala,Mukherjee Nagar,Mithai,200,3
Food Box,Mukherjee Nagar,Fast Food,400,3
Heaven's Shawarma,Mukherjee Nagar,Lebanese,300,3
Hyderabad Spl. Chicken Biryani Point,Mukherjee Nagar,Mughlai,400,3
Keshar,Mukherjee Nagar,North Indian,500,3
Saara Veg,Mukherjee Nagar,North Indian,500,3
Shivam Corner,Mukherjee Nagar,North Indian,200,3
Swad Mubarak,Mukherjee Nagar,North Indian,300,3
Hunter's Kitchen,Munirka,North Eastern,1100,3
Agarwal Sweets,Naraina,Mithai,200,3
Bengali Sweet Corner,Naraina,South Indian,300,3
Choice,Naraina,South Indian,600,3
Flavors Of London,Naraina,Desserts,300,3
Frontier,Naraina,Bakery,300,3
Sardar Ji,Naraina,North Indian,200,3
Cafe Coffee Day,Nehru Place,Cafe,500,3
Domino's Pizza,Nehru Place,Pizza,800,3
Gopala,Nehru Place,North Indian,200,3
Snack Junction,Nehru Place,North Indian,300,3
Asian Curry,New Friends Colony,Thai,900,3
Gopala,New Friends Colony,Mithai,300,3
Green Chick Chop,New Friends Colony,Raw Meats,400,3
Zoet Desserts,New Friends Colony,Bakery,700,3
Chawla Dhaba,Okhla Phase 2,North Indian,600,3
The Golden Leaf,Okhla Phase 2,North Indian,800,3
Bikaner House,Paharganj,North Indian,600,3
Exotic Rooftop Restaurant,Paharganj,Chinese,700,3
Gurdev Punjabi Restaurant,Paharganj,North Indian,300,3
Haji Irshad Biryani Centre,Paharganj,Biryani,300,3
Hungerzz Grill,Paharganj,Fast Food,300,3
Janta Sweets,Paharganj,Street Food,300,3
King Bar & Restaurant,Paharganj,North Indian,1000,3
Metropolis Bar,Paharganj,Chinese,800,3
Paankhuri Restaurant,Paharganj,North Indian,600,3
The Drunkyard Cafe,Paharganj,North Indian,900,3
True Blue,Paharganj,North Indian,1000,3
U Like,Paharganj,North Indian,700,3
Da Pizza Corner,Palam,Fast Food,700,3
New Bikaner Sweets,Palam,Street Food,300,3
Sher-E-Punjab,Palam,North Indian,500,3
Shudh Vaishno Amritsari Naan,Palam,North Indian,200,3
New Durga Dosa Corner,Paschim Vihar,South Indian,400,3
La-Nawaab,Patparganj,North Indian,600,3
Bake Houz,Pitampura,Bakery,400,3
Grand Bikaner,Pitampura,Mithai,300,3
Sindhi Chicken Corner,Pitampura,North Indian,700,3
The Butter Cup,Pitampura,Bakery,500,3
The Taste,Pitampura,Chinese,300,3
VadaPav 'n' Frankie,Pitampura,Fast Food,200,3
Cholkat,Prashant Vihar,Bakery,600,3
Giani's,Prashant Vihar,Ice Cream,500,3
Cilantro Woodapple,Preet Vihar,North Indian,900,3
Green Chick Chop,Preet Vihar,Raw Meats,400,3
Katyal Pure Vegetarian,Preet Vihar,Chinese,400,3
Nirula's Ice Cream,Preet Vihar,Desserts,300,3
Linx - Premier Inn,Premier Inn,North Indian,2100,3
Pudding & Pie,Punjabi Bagh,Bakery,500,3
Green Chick Chop,R K Puram,Raw Meats,400,3
Laxmi Corner,R K Puram,North Indian,200,3
Choice Corner,Rajinder Nagar,Street Food,200,3
Food Factory,Rajinder Nagar,North Indian,600,3
iGNiTE,Rajinder Nagar,North Indian,700,3
Kay's Bar-Be-Que,Rajinder Nagar,North Indian,500,3
Mama's Chinese Kitchen,Rajinder Nagar,Chinese,800,3
Posh Spice,Rajinder Nagar,Fast Food,400,3
Sardar A Pure Meat Shop,Rajinder Nagar,Raw Meats,400,3
Shama Chicken Corner,Rajinder Nagar,Mughlai,400,3
Bharat Sweets,Rajouri Garden,Mithai,200,3
Cafe TAB,Rajouri Garden,Cafe,600,3
Chawlas 2,Rajouri Garden,North Indian,900,3
Garage,Rajouri Garden,North Indian,700,3
Shri Durga Dosa Corner,Rajouri Garden,South Indian,400,3
Unique Tasty Bites,Rajouri Garden,Chinese,500,3
Apni Rasoi,Rohini,North Indian,400,3
New Eleven to Eleven,Rohini,North Indian,1100,3
Amritsari Xpress,Safdarjung,North Indian,400,3
B Two,Safdarjung,Chinese,500,3
Cake Away,Safdarjung,Cafe,800,3
Chanky Restruoo,Safdarjung,Chinese,600,3
Morong Ki,Safdarjung,Naga,500,3
Red Chilli,Safdarjung,North Indian,1000,3
Sugary Affairs,Safdarjung,Bakery,700,3
The Belly Giggles,Safdarjung,Naga,700,3
Alam Muradabadi Chicken Biryani,Saket,North Indian,300,3
Budapest Kitchen & Bar,Saket,Finger Food,1600,3
Kumaon Dhaba & Service,Saket,North Indian,200,3
Lite Eat Cafe,Saket,Fast Food,400,3
The Upper Crust,Saket,Pizza,600,3
Bikaner Sweets,Sarita Vihar,Mithai,200,3
Chawla's_,Sarita Vihar,North Indian,600,3
Shri Bala Ji,Sarita Vihar,North Indian,200,3
The Kitchen Exotica,Sarita Vihar,North Indian,700,3
Flirty Momo's,Satyaniketan,Chinese,400,3
NCR Cafe ,Satyaniketan,Cafe,900,3
SharpShooters Roof Top Cafe,Satyaniketan,Cafe,500,3
Stuti Restaurant,Satyaniketan,North Indian,300,3
Turn Up,Satyaniketan,North Indian,1300,3
Big Bite,Shahdara,North Indian,400,3
Chaska,Shahdara,North Indian,300,3
Darbaar Chicken,Shahdara,North Indian,600,3
Goldy Da Dhaba,Shahdara,North Indian,400,3
Mitra Da Dhaba & Caterers,Shahdara,North Indian,300,3
Pizzalicious,Shahdara,Pizza,500,3
Shahi Food Corner,Shahdara,North Indian,200,3
Shree Bhog Pure Veg Restaurant,Shakarpur,North Indian,300,3
Ashu Thali Wala,Shalimar Bagh,North Indian,300,3
Believe in Taste,Shalimar Bagh,North Indian,500,3
Chawla's Chic Inn,Shalimar Bagh,North Indian,800,3
Chinese Hut Fast Food,Shalimar Bagh,Chinese,400,3
Domino's Pizza,Shalimar Bagh,Pizza,800,3
Kishan Dhaba,Shalimar Bagh,North Indian,200,3
Shalimar Vyanjan,Shalimar Bagh,North Indian,500,3
Kathi's,South Extension 2,Fast Food,500,3
Aap Ki Rasoi Ghar,Subhash Nagar,North Indian,300,3
Dakshin South Indian Hut,Subhash Nagar,South Indian,300,3
Madan Da Dhaba,Subhash Nagar,North Indian,200,3
Soya Grill,Subhash Nagar,North Indian,400,3
Chinese Sigdi,Tagore Garden,Chinese,300,3
Faasos,Tagore Garden,North Indian,700,3
Last Bencher's,Tagore Garden,Chinese,400,3
Raj Bakers And Confectioners,Tagore Garden,Fast Food,200,3
The Kafilla,Tagore Garden,North Indian,700,3
Bao Cha,The India Mall,Chinese,1100,3
Bonitos Blu - The Uppal,The Uppal,North Indian,2600,3
The Gourmet Shop - The Uppal,The Uppal,Bakery,600,3
Bhukkadzz Point,Tilak Nagar,Fast Food,400,3
Chaap Nation,Tilak Nagar,North Indian,400,3
Green Chick Chop,Tilak Nagar,Raw Meats,400,3
Janki Vaishno Dhaba,Tilak Nagar,North Indian,200,3
Mr.Hunger,Tilak Nagar,Burger,600,3
Punjabi Ninja,Tilak Nagar,North Indian,600,3
Vijay Corner,Tilak Nagar,North Indian,400,3
ATM Food Corner,Uttam Nagar,North Indian,300,3
Gabbar Chowmein,Uttam Nagar,Fast Food,200,3
Lajawab Chinese Food,Uttam Nagar,Chinese,400,3
Maharani Rasoi,Uttam Nagar,North Indian,200,3
Radha Swami Vaishno Dhaba,Uttam Nagar,North Indian,300,3
Shah Bakery,Uttam Nagar,Fast Food,500,3
Shri Krishna Vaishno Dhaba,Uttam Nagar,North Indian,400,3
Singh's Ice Cream Parlour,Uttam Nagar,Ice Cream,300,3
Nirula's Ice Cream,V3S Mall,Desserts,300,3
Nirula's,Vasant Kunj,Fast Food,1200,3
Ananda's,Vasundhara Enclave,South Indian,400,3
Giani,Vasundhara Enclave,Ice Cream,400,3
The Cake,Vasundhara Enclave,Bakery,300,3
Pasta Hub,Vijay Nagar,Italian,300,3
Cafe Amigo,Vikaspuri,Cafe,500,3
Cafe Coffee Day,Vikaspuri,Cafe,500,3
Chetana Bakes,Vikaspuri,Bakery,500,3
Food Lab,Vikaspuri,Chinese,400,3
Mandeep Punjabi Rasoi,Vikaspuri,North Indian,300,3
Shree Ram Sweets & Bakers,Vikaspuri,Mithai,200,3
Sindhi Kulfi Wala,Vikaspuri,Desserts,200,3
Le Chef,Vivek Vihar,Chinese,500,3
Meghraj Food Court,Wazirpur,North Indian,300,3
Rhythm Restro-Bar,Yusuf Sarai,Mughlai,1100,3
Wah Ji Wah,Yusuf Sarai,North Indian,500,3
Geoffrey's,Centre Stage Mall,Asian,2700,3
Royal Awadh,Greater Noida,North Indian,600,3
Indian Diners,Hotel Golf View,North Indian,1400,3
Cafe Pitacos,Logix City Centre,Continental,700,3
Ni Hao,Logix City Centre,Chinese,800,3
Aggarwal Kachori Wale,Sector 12,North Indian,200,3
Bakes & Cakes,Sector 12,Bakery,300,3
Jhatpat Khana,Sector 12,North Indian,500,3
Night Safari Cafe,Sector 12,Fast Food,400,3
Aroma,Sector 132,South Indian,400,3
Grill King,Sector 132,North Indian,500,3
Sweet Cake,Sector 15,Bakery,400,3
The Cake Xpress,Sector 15,Bakery,300,3
Divine Curries,Sector 16,North Indian,800,3
Nizam's Kathi Kabab,Sector 18,North Indian,1000,3
Walk In The Woods,Sector 18,North Indian,1500,3
R Cafe,Sector 20,South Indian,500,3
Uncle's JVCC Restaurant,Sector 21,North Indian,700,3
Hari Om Restaurant,Sector 22,North Indian,300,3
Jain Restaurant,Sector 22,North Indian,600,3
Republic of Chicken,Sector 25,Raw Meats,500,3
China Hot Pot,Sector 27,Chinese,500,3
M.P. Chole Tikki Wala,Sector 27,Street Food,200,3
More Than Cafí©,Sector 27,Fast Food,500,3
Open Kitchen,Sector 29,North Indian,700,3
Lapaalap,Sector 3,North Indian,300,3
Radhey Foodz,Sector 31,North Indian,300,3
Govinda's Restaurant,Sector 33,North Indian,400,3
Zaffran- Ikshita's Kitchen,Sector 34,Kashmiri,400,3
Heaven's Point,Sector 37,Fast Food,200,3
Barista,Sector 38,Cafe,700,3
Sen's Sational Xpress Kitchen,Sector 39,North Indian,700,3
Shanghai Dreams,Sector 39,Chinese,500,3
The Chickmunks Express,Sector 41,Fast Food,1400,3
Twenty Four Seven,Sector 41,Fast Food,400,3
Cafe 44,Sector 44,Continental,600,3
Shadev Saini Dhaba,Sector 44,North Indian,300,3
Noida Cakes Online,Sector 47,Bakery,400,3
Punjabi Chaska,Sector 48,North Indian,600,3
The Choco Shop,Sector 48,Bakery,800,3
Chocopur,Sector 49,Bakery,600,3
Prime Bakery,Sector 50,Bakery,400,3
Chung-Fu,Sector 51,Chinese,400,3
Barista,Sector 58,Cafe,700,3
Boxmeal,Sector 62,North Indian,500,3
Cafe Coffee Day,Sector 62,Cafe,500,3
Mom's Canteen,Sector 62,North Indian,300,3
Pichli Gali,Sector 62,North Indian,400,3
The Hunger Cure,Sector 62,Fast Food,700,3
